cluster,size,pct_of_total
53,1698,3.4
0,1227,2.5
18,1219,2.4
56,1164,2.3
24,1152,2.3
8,1044,2.1
4,1039,2.1
59,1018,2.0
74,999,2.0
2,965,1.9
41,931,1.9
13,925,1.8
58,916,1.8
5,880,1.8
28,867,1.7
9,857,1.7
63,842,1.7
73,840,1.7
64,837,1.7
20,835,1.7
69,830,1.7
21,805,1.6
26,802,1.6
29,801,1.6
25,770,1.5
50,764,1.5
72,754,1.5
15,752,1.5
31,751,1.5
48,732,1.5
54,696,1.4
10,693,1.4
36,692,1.4
65,691,1.4
3,681,1.4
32,679,1.4
51,674,1.3
30,670,1.3
66,666,1.3
35,666,1.3
67,638,1.3
33,637,1.3
71,630,1.3
34,608,1.2
16,592,1.2
45,585,1.2
39,577,1.2
61,548,1.1
42,544,1.1
70,528,1.1
1,520,1.0
40,509,1.0
57,504,1.0
14,486,1.0
6,486,1.0
44,476,1.0
23,475,1.0
19,460,0.9
52,455,0.9
55,447,0.9
46,447,0.9
68,427,0.9
7,423,0.8
43,418,0.8
22,381,0.8
62,364,0.7
60,348,0.7
27,332,0.7
12,328,0.7
38,318,0.6
11,256,0.5
17,231,0.5
49,196,0.4
37,1,0.0
47,1,0.0
