APPLICATION_ID,PROJECT_TITLE,IC_NAME,FY,TOTAL_COST,cluster,topic_label,title_short,funding_millions
9095454,Impact of Sleep in the Restoring Insulin Secretion (RISE) Study,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2016.0,372114.0,12,NATIONAL CANCER INSTITUTE: Clinical Research,Impact of Sleep in the Restoring Insulin Secretion (RISE) Study,0.37
6730747,MRI of Brain Function and Receptors in Cocaine Addiction,NATIONAL INSTITUTE ON DRUG ABUSE,2003.0,24726.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,MRI of Brain Function and Receptors in Cocaine Addiction,0.02
9901535,Coordinate Gene Regulation in Animal Cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2020.0,466287.0,23,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Coordinate Gene Regulation in Animal Cells,0.47
8280449,Functions of Epithelial Splicing Regulatory Proteins and their role in the EMT,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2012.0,313632.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Functions of Epithelial Splicing Regulatory Proteins and their role in the EMT,0.31
6913522,Maximizing Beneficial Exercise Effects in Fibromyalgia.,NATIONAL INSTITUTE OF NURSING RESEARCH,2005.0,452672.0,16,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Maximizing Beneficial Exercise Effects in Fibromyalgia.,0.45
8753391,Novel Experimental Therapeutics for Pancreatic Cancer,NATIONAL CANCER INSTITUTE,2014.0,329925.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,Novel Experimental Therapeutics for Pancreatic Cancer,0.33
6387043,STRUCTURAL BASIS FOR BINDING TO G PROTEIN BETA GAMMA,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2001.0,319000.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,STRUCTURAL BASIS FOR BINDING TO G PROTEIN BETA GAMMA,0.32
7680998,"Dissemination Research on Fall Prevention: ""Stepping On"" in A Wisconsin Community",NATIONAL CENTER FOR INJURY PREVENTION AND CONTROL,2009.0,339999.0,12,NATIONAL CANCER INSTITUTE: Clinical Research,"Dissemination Research on Fall Prevention: ""Stepping On"" in A Wisconsin Community",0.34
8285499,Hospital Errors: Discovering Causes and Developing Solutions,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2012.0,50000.0,15,NATIONAL INSTITUTE ON AGING: Clinical Research,Hospital Errors: Discovering Causes and Developing Solutions,0.05
8248082,Role of microRNAs in skeletal development,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2012.0,372971.0,40,NATIONAL CANCER INSTITUTE: Genetics,Role of microRNAs in skeletal development,0.37
8073624,The Role of Osteoactivin in Osteoblast Development and Function,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2011.0,131295.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,The Role of Osteoactivin in Osteoblast Development and Function,0.13
10086424,The role of estrogen receptor in breast cancer outcomes and the effect of exposure history,NATIONAL CANCER INSTITUTE,2021.0,34013.0,16,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,The role of estrogen receptor in breast cancer outcomes and the effect of exposure history,0.03
7949977,Secretion-associated dynamic of the plasma membrane,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2010.0,50474.0,37,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Secretion-associated dynamic of the plasma membrane,0.05
6732697,Local Regulation Of Calcium Release In Skeletal Muscle,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2004.0,129330.0,9,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Clinical Research",Local Regulation Of Calcium Release In Skeletal Muscle,0.13
10224409,Task A40: Human Hepatitis B virus (HBV) mouse models for testing HBV therapeutics,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2020.0,118225.0,1,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Infectious Diseases,Task A40: Human Hepatitis B virus (HBV) mouse models for testing HBV therapeutics,0.12
9717308,Translating Research Into Practice: A Regional Collaborative to Reduce Disparities in Breast Cancer Care,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,2019.0,1696377.0,19,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Translating Research Into Practice: A Regional Collaborative to Reduce Disparities in Breast Cancer Care,1.7
9601638,Neurobehavioral Relations in Senescent Hippocampus,NATIONAL INSTITUTE ON AGING,2019.0,736431.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Neurobehavioral Relations in Senescent Hippocampus,0.74
8734193,"Program in Clinical Research, Clinical Support Services and Clinical Training",NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2013.0,5928382.0,3,NATIONAL CANCER INSTITUTE: Clinical Research,"Program in Clinical Research, Clinical Support Services and Clinical Training",5.93
6768349,REGULATION OF CA SIGNALING DURING OOGENESIS,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2003.0,4260.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,REGULATION OF CA SIGNALING DURING OOGENESIS,0.0
6775101,Myosin Movement in Vitro - Molecular Characterization,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2004.0,576119.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Myosin Movement in Vitro - Molecular Characterization,0.58
9468449,Towards a blood-based diagnostic panel for confirmation of Parkinson's disease,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2018.0,156645.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Towards a blood-based diagnostic panel for confirmation of Parkinson's disease,0.16
6360110,REAL TIME NONLINEAR RAMAN MICROSCOPE,NATIONAL CENTER FOR RESEARCH RESOURCES,2000.0,89079.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,REAL TIME NONLINEAR RAMAN MICROSCOPE,0.09
6476806,GENOME FUNCTION IN MOUSE WITH COMBINATION MUTAGENESIS,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENT,2002.0,573335.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,GENOME FUNCTION IN MOUSE WITH COMBINATION MUTAGENESIS,0.57
8320238,Parameters that influence CD4+ T cell diabetogenic potential,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2012.0,371875.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Parameters that influence CD4+ T cell diabetogenic potential,0.37
8721738,"Stimulatory and Suppressive NK Cell, DC, and MDSC Interactions in Human Cancer",NATIONAL CANCER INSTITUTE,2014.0,42057.0,34,NATIONAL CANCER INSTITUTE: Genetics,"Stimulatory and Suppressive NK Cell, DC, and MDSC Interactions in Human Cancer",0.04
8499457,Institute of Translational Health Sciences,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,2013.0,2512119.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Institute of Translational Health Sciences,2.51
6062467,MORPHOGENESIS AND CYTOKINESIS IN THE YEAST CELL CYCLE,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2000.0,370204.0,20,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,MORPHOGENESIS AND CYTOKINESIS IN THE YEAST CELL CYCLE,0.37
9750818,Neuropeptidergic Regulation of Zebrafish Sleep,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2019.0,359406.0,40,NATIONAL CANCER INSTITUTE: Genetics,Neuropeptidergic Regulation of Zebrafish Sleep,0.36
9676239,The role of the LZTR1 ubiquitin ligase in stem cells and cancer,NATIONAL CANCER INSTITUTE,2019.0,371586.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,The role of the LZTR1 ubiquitin ligase in stem cells and cancer,0.37
9959042,"Preclinical Pulmonary Fibrosis, an opportune rare disease cohort","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2020.0,732489.0,48,NATIONAL CANCER INSTITUTE: Clinical Research,"Preclinical Pulmonary Fibrosis, an opportune rare disease cohort",0.73
8734406,Mentoring Behavioral Scientists for Career Development in Pediatric T1D Research,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2014.0,334423.0,9,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Clinical Research",Mentoring Behavioral Scientists for Career Development in Pediatric T1D Research,0.33
9036345,Hospital Responses to Medicare Readmission Penalties,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2016.0,249999.0,18,NATIONAL INSTITUTE ON DRUG ABUSE: Behavioral and Social Science,Hospital Responses to Medicare Readmission Penalties,0.25
6785821,Clinical Application of Image Guided Liver Surgery,NATIONAL CANCER INSTITUTE,2003.0,391104.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,Clinical Application of Image Guided Liver Surgery,0.39
10720503,"Understanding the role of bilevel positive airway pressure (BPAP) in pediatric acute asthma exacerbations: A prospective, randomized, double blind, controlled trial.","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2023.0,586651.0,50,NATIONAL CANCER INSTITUTE: Clinical Research,Understanding the role of bilevel positive airway pressure (BPAP) in pediatric acute asthma exacerbations: A prospective,0.59
7088732,The design principles underlying cell polarity in yeast,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2006.0,208937.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,The design principles underlying cell polarity in yeast,0.21
10002601,Novel Gene-Environment Regulatory Circuit in Chamber Specific Growth of Perinatal Heart,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2019.0,390000.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Novel Gene-Environment Regulatory Circuit in Chamber Specific Growth of Perinatal Heart,0.39
7867312,Post-Doctoral Training in Intellectual and Developmental Disabilities Research,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2010.0,193639.0,6,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Post-Doctoral Training in Intellectual and Developmental Disabilities Research,0.19
10454302,Stress Hormone Signal Transduction in Arabidopsis,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2022.0,355500.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Stress Hormone Signal Transduction in Arabidopsis,0.36
6171110,HIV 1 CORECEPTORS IN TRANSMISSION AND PATHOGENESIS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2000.0,394974.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",HIV 1 CORECEPTORS IN TRANSMISSION AND PATHOGENESIS,0.39
9841947,Sulfide Oxidation and Signaling,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2020.0,390000.0,22,NATIONAL CANCER INSTITUTE: Genetics,Sulfide Oxidation and Signaling,0.39
10795051,NorthStar Node of the Clinical Trials Network,NATIONAL INSTITUTE ON DRUG ABUSE,2024.0,1.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,NorthStar Node of the Clinical Trials Network,0.0
7531216,Glycobiological Analysis of Plasmodium-Vector Host Interactions,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2009.0,162000.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Glycobiological Analysis of Plasmodium-Vector Host Interactions,0.16
8903350,Morehouse Sch of Medicine/Tuskegee Univ/University of Alabama Ca Ctr Partnership,NATIONAL CANCER INSTITUTE,2014.0,155159.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Morehouse Sch of Medicine/Tuskegee Univ/University of Alabama Ca Ctr Partnership,0.16
7321264,Improving SENSE MRI for Spiral and Echo-planar Imaging in Stroke,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,2007.0,459619.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,Improving SENSE MRI for Spiral and Echo-planar Imaging in Stroke,0.46
6556161,Mechanism of Base-Flipping by DNA Modifying Enzymes,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2003.0,137971.0,28,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Bioengineering,Mechanism of Base-Flipping by DNA Modifying Enzymes,0.14
8352205,Task A30:Mouse Models for Orthopoxviruses,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2011.0,256000.0,1,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Infectious Diseases,Task A30:Mouse Models for Orthopoxviruses,0.26
10159238,The basis for and function of enteroendocrine lineage plasticity in the intestinal DNA damage response,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2021.0,440575.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,The basis for and function of enteroendocrine lineage plasticity in the intestinal DNA damage response,0.44
8527658,Optimizing Protein Intake in Older Americans with Mobility Limitations,NATIONAL INSTITUTE ON AGING,2013.0,811351.0,12,NATIONAL CANCER INSTITUTE: Clinical Research,Optimizing Protein Intake in Older Americans with Mobility Limitations,0.81
9385440,Evaluating Longitudinal Changes in the Human Structural Connectome in Relation to Cognitive Aging,NATIONAL INSTITUTE ON AGING,2017.0,502543.0,14,NATIONAL INSTITUTE OF MENTAL HEALTH: Neurosciences,Evaluating Longitudinal Changes in the Human Structural Connectome in Relation to Cognitive Aging,0.5
8089431,Mechanisms of Immune Modulation and Periodontal Disease,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2011.0,337666.0,37,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Mechanisms of Immune Modulation and Periodontal Disease,0.34
8938038,Investigating the role of DNA breaks in mammalian aging,NATIONAL CANCER INSTITUTE,2014.0,391061.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Investigating the role of DNA breaks in mammalian aging,0.39
6509410,GENOTYPE:PHENOTYPE ASSOCIATIONS IN ALCOHOLISM,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,2002.0,72500.0,34,NATIONAL CANCER INSTITUTE: Genetics,GENOTYPE:PHENOTYPE ASSOCIATIONS IN ALCOHOLISM,0.07
7735286,Clinical Investigations On The Etiology And Therapy Of Neurogenetic Disorders,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2008.0,706694.0,26,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Clinical Investigations On The Etiology And Therapy Of Neurogenetic Disorders,0.71
8413715,High Throughput Screen Development for Modulators of PAS/Coactivator Interactions,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2012.0,39625.0,31,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,High Throughput Screen Development for Modulators of PAS/Coactivator Interactions,0.04
8371509,Role of AIPL1 in Inherited Retinal Degenerative Disease,NATIONAL EYE INSTITUTE,2012.0,370000.0,34,NATIONAL CANCER INSTITUTE: Genetics,Role of AIPL1 in Inherited Retinal Degenerative Disease,0.37
9207161,Crosstalk between mitochondrial permeability transition and ETC supercomplexes in myocardial infarction,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2017.0,362750.0,21,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES: Neurosciences,Crosstalk between mitochondrial permeability transition and ETC supercomplexes in myocardial infarction,0.36
10083191,The Role of FOXCI in Basal-like Breast Cancer,NATIONAL CANCER INSTITUTE,2021.0,415625.0,38,NATIONAL CANCER INSTITUTE: Genetics,The Role of FOXCI in Basal-like Breast Cancer,0.42
10087799,Prefrontal CRF and the Regulation of Goal Directed Behavior,NATIONAL INSTITUTE OF MENTAL HEALTH,2021.0,470549.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Prefrontal CRF and the Regulation of Goal Directed Behavior,0.47
