APPLICATION_ID,PROJECT_TITLE,IC_NAME,FY,TOTAL_COST,domain,domain_label,topic,topic_label,subtopic,subtopic_label,umap_x,umap_y
9095454,Impact of Sleep in the Restoring Insulin Secretion (RISE) Study,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2016.0,372114.0,10,Bioengineering & Technology,58,Bioengineering & Technology > Vaccine Related,219,Bioengineering & Bio > Biotech... > Clinical Research,-7.9024663,1.6461327
6730747,MRI of Brain Function and Receptors in Cocaine Addiction,NATIONAL INSTITUTE ON DRUG ABUSE,2003.0,24726.0,6,Molecular Biology & Genomics,35,Molecular Biology & Genomics > Bioengineering,137,Genetics & Neuroscie > Bioengi... > Bioengineering,-6.269876,4.220045
9901535,Coordinate Gene Regulation in Animal Cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2020.0,466287.0,3,Genetics & Biotechnology,15,Genetics & Biotechnology > Human Genome,60,Genetics & Neuroscie > Genetic... > Genetics,-7.3791313,5.456698
8280449,Functions of Epithelial Splicing Regulatory Proteins and their role in the EMT,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2012.0,313632.0,7,Infectious Disease & Immunology,37,Infectious Disease & Immunology > Clinical Research,146,Genetics & Biotechno > Genetic... > Genetics,-4.6688504,4.0376678
6913522,Maximizing Beneficial Exercise Effects in Fibromyalgia.,NATIONAL INSTITUTE OF NURSING RESEARCH,2005.0,452672.0,2,Behavioral & Social Science,12,Behavioral & Social Science > Patient Safety,48,Clinical Research &  > Clinica... > Clinical Research,-7.858162,1.7082783
8753391,Novel Experimental Therapeutics for Pancreatic Cancer,NATIONAL CANCER INSTITUTE,2014.0,329925.0,7,Infectious Disease & Immunology,37,Infectious Disease & Immunology > Clinical Research,143,Genetics & Biotechno > Genetic... > Genetics,-8.044436,5.5959034
6387043,STRUCTURAL BASIS FOR BINDING TO G PROTEIN BETA GAMMA,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2001.0,319000.0,7,Infectious Disease & Immunology,41,Infectious Disease & Immunology > Cancer,159,Genetics & Biotechno > Genetic... > Infectious Diseases,-5.8189034,4.9325066
7680998,"Dissemination Research on Fall Prevention: ""Stepping On"" in A Wisconsin Community",NATIONAL CENTER FOR INJURY PREVENTION AND CONTROL,2009.0,339999.0,2,Behavioral & Social Science,8,Behavioral & Social Science > Comparative Effectiveness Research,31,Clinical Research &  > Clinica... > Clinical Research,-8.990903,0.9780171
8285499,Hospital Errors: Discovering Causes and Developing Solutions,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2012.0,50000.0,2,Behavioral & Social Science,12,Behavioral & Social Science > Patient Safety,45,Clinical Research &  > Clinica... > Clinical Research,-10.165824,3.0467632
8248082,Role of microRNAs in skeletal development,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2012.0,372971.0,6,Molecular Biology & Genomics,33,Molecular Biology & Genomics > Genetics,130,Genetics & Neuroscie > Genetic... > Genetics,-4.5501294,3.8123267
