APPLICATION_ID,CORE_PROJECT_NUM,topic,topic_label,IC_NAME,FISCAL_YEAR
2745555,R01HD026339,26,Genetics | Biotechnology | Neurosciences,HD,2000
2774711,R41DE012971,53,Bioengineering | Clinical Research | Neurosciences,DE,2000
2840876,R01AR044833,40,Genetics | Biotechnology | Clinical Research,AR,2000
2884539,R01AI032493,20,Genetics | Biotechnology | Neurosciences,AI,2000
2888748,K12HD001277,82,Clinical Research | Neurosciences | Cancer,HD,2000
2899088,R01DC000111,4,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,DC,2000
2899472,R01DK049129,50,Behavioral and Social Science | Clinical Research | Pediatric,DK,2000
2902077,R01RR014334,53,Bioengineering | Clinical Research | Neurosciences,RR,2000
6011732,G08LM006722,86,Bioengineering | Clinical Research | Cancer,LM,2000
6017662,R01DA012801,95,Clinical Research | Behavioral and Social Science | Prevention,DA,2000
6020158,P30NR005043,85,Clinical Research | Prevention | Behavioral and Social Science,NR,2000
6021363,F32ES005813,17,Neurosciences | Genetics | Brain Disorders,ES,2000
6021502,U01AI027663,85,Clinical Research | Prevention | Behavioral and Social Science,AI,2000
6022167,R21AA012381,64,Genetics | Infectious Diseases | Biotechnology,AA,2000
6022178,U01AI046383,47,Clinical Research | Genetics | Biotechnology,AI,2000
6026912,R01CA083724,35,Genetics | Neurosciences | Cardiovascular,CA,2000
6026959,R01DK056635,54,Genetics | Biotechnology | Infectious Diseases,DK,2000
6027205,K01DK002771,80,Genetics | Neurosciences | Clinical Research,DK,2000
6027241,R01HD038261,94,Clinical Research | Prevention | Clinical Trials and Supportive Activities,HD,2000
6027868,R01CA083830,60,Cancer | Infectious Diseases | Biotechnology,CA,2000
6027881,R01CA083843,53,Bioengineering | Clinical Research | Neurosciences,CA,2000
6027970,R25HG002074,95,Clinical Research | Behavioral and Social Science | Prevention,HG,2000
6027995,R01HL063761,94,Clinical Research | Prevention | Clinical Trials and Supportive Activities,HL,2000
6028271,R01HL063768,40,Genetics | Biotechnology | Clinical Research,HL,2000
6029891,R01AI046505,62,Infectious Diseases | Biotechnology | Prevention,AI,2000
6031208,R01CA083940,80,Genetics | Neurosciences | Clinical Research,CA,2000
6032368,R03AA012418,25,Clinical Research | Behavioral and Social Science | Neurosciences,AA,2000
6032423,R01AR046487,54,Genetics | Biotechnology | Infectious Diseases,AR,2000
6032707,R01NS039471,84,Genetics | Infectious Diseases | Cancer,NS,2000
6032840,R01AI046613,54,Genetics | Biotechnology | Infectious Diseases,AI,2000
6033253,R01DK056817,80,Genetics | Neurosciences | Clinical Research,DK,2000
6033312,K08HL004245,35,Genetics | Neurosciences | Cardiovascular,HL,2000
6039426,R01ES010182,40,Genetics | Biotechnology | Clinical Research,ES,2000
6039820,R01GM046436,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6040642,R01AR046523,54,Genetics | Biotechnology | Infectious Diseases,AR,2000
6040770,R01GM026237,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6040824,R01HL053280,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6040832,R01HL060833,35,Genetics | Neurosciences | Cardiovascular,HL,2000
6040877,R01MH059937,39,Clinical Research | Neurosciences | Prevention,MH,2000
6041156,R01AG013038,67,Clinical Research | Prevention | Neurosciences,AG,2000
6041348,R01EY011115,0,Genetics | Biotechnology | Neurosciences,EY,2000
6041724,R01HL053596,86,Bioengineering | Clinical Research | Cancer,HL,2000
6042561,R01CA060896,9,Genetics | Biotechnology | Cancer,CA,2000
6042647,R01DK054490,73,Neurosciences | Brain Disorders | Behavioral and Social Science,DK,2000
6042809,R01HL054727,94,Clinical Research | Prevention | Clinical Trials and Supportive Activities,HL,2000
6043252,R01CA042978,51,Genetics | Biotechnology | Human Genome,CA,2000
6043274,R01CA078268,87,Genetics | Neurosciences | Biotechnology,CA,2000
6043307,R01DA004174,5,Clinical Research | Behavioral and Social Science | Prevention,DA,2000
6043323,R01DA012498,27,Neurosciences | Genetics | Clinical Research,DA,2000
6043354,R01DC002258,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,DC,2000
6043563,R01GM044228,54,Genetics | Biotechnology | Infectious Diseases,GM,2000
6043621,R13ES010403,55,Cancer | Neurosciences | Genetics,ES,2000
6044076,R01MH059687,94,Clinical Research | Prevention | Clinical Trials and Supportive Activities,MH,2000
6044502,R01HL060875,27,Neurosciences | Genetics | Clinical Research,HL,2000
6044570,R01NR004680,50,Behavioral and Social Science | Clinical Research | Pediatric,NR,2000
6044751,R01AI046755,27,Neurosciences | Genetics | Clinical Research,AI,2000
6044829,R01EY008520,17,Neurosciences | Genetics | Brain Disorders,EY,2000
6044885,R01DK054367,40,Genetics | Biotechnology | Clinical Research,DK,2000
6044899,R01DK055811,58,Genetics | Neurosciences | Biotechnology,DK,2000
6044921,R01AA012218,90,Clinical Research | Behavioral and Social Science | Prevention,AA,2000
6044950,R01AG016839,80,Genetics | Neurosciences | Clinical Research,AG,2000
6045017,R01HD036275,66,Clinical Research | Behavioral and Social Science | Health Services,HD,2000
6045090,R01NR004704,42,Clinical Research | Behavioral and Social Science | Prevention,NR,2000
6045111,R01NS027113,11,Neurosciences | Genetics | Brain Disorders,NS,2000
6045127,R01NS037756,58,Genetics | Neurosciences | Biotechnology,NS,2000
6045209,R01GM029909,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6045219,R01MH059934,18,Bioengineering | Clinical Research | Neurosciences,MH,2000
6045403,R01CA081102,20,Genetics | Biotechnology | Neurosciences,CA,2000
6045972,R01DK053031,40,Genetics | Biotechnology | Clinical Research,DK,2000
6045985,R01DK054762,64,Genetics | Infectious Diseases | Biotechnology,DK,2000
6046024,R01GM035010,20,Genetics | Biotechnology | Neurosciences,GM,2000
6046043,R01GM015691,20,Genetics | Biotechnology | Neurosciences,GM,2000
6051008,K24HL004004,73,Neurosciences | Brain Disorders | Behavioral and Social Science,HL,2000
6051331,R01DC003788,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,DC,2000
6051690,R01DC002741,45,Genetics | Clinical Research | Human Genome,DC,2000
6051695,R01CA081338,66,Clinical Research | Behavioral and Social Science | Health Services,CA,2000
6051709,R01AA012191,50,Behavioral and Social Science | Clinical Research | Pediatric,AA,2000
6052084,S10RR012829,8,Biotechnology | Cancer | Bioengineering,RR,2000
6052306,S10RR014736,86,Bioengineering | Clinical Research | Cancer,RR,2000
6052335,R01ES007799,54,Genetics | Biotechnology | Infectious Diseases,ES,2000
6052391,R01NS025037,75,Genetics | Neurosciences | Clinical Research,NS,2000
6053030,R01GM060760,45,Genetics | Clinical Research | Human Genome,GM,2000
6053352,R37AI046776,40,Genetics | Biotechnology | Clinical Research,AI,2000
6053375,R01GM060793,62,Infectious Diseases | Biotechnology | Prevention,GM,2000
6053574,S10RR014814,86,Bioengineering | Clinical Research | Cancer,RR,2000
6053731,R24CA084587,8,Biotechnology | Cancer | Bioengineering,CA,2000
6053734,R01AG008538,58,Genetics | Neurosciences | Biotechnology,AG,2000
6053741,R01AG016592,45,Genetics | Clinical Research | Human Genome,AG,2000
6054036,S10RR014875,86,Bioengineering | Clinical Research | Cancer,RR,2000
6054061,S10RR014852,8,Biotechnology | Cancer | Bioengineering,RR,2000
6055163,F32HD008598,25,Clinical Research | Behavioral and Social Science | Neurosciences,HD,2000
6055327,K08AG000712,17,Neurosciences | Genetics | Brain Disorders,AG,2000
6055755,R21CA084641,86,Bioengineering | Clinical Research | Cancer,CA,2000
6062395,F32HL010319,87,Genetics | Neurosciences | Biotechnology,HL,2000
6062456,F32AR008591,73,Neurosciences | Brain Disorders | Behavioral and Social Science,AR,2000
6062467,R37GM031006,84,Genetics | Infectious Diseases | Cancer,GM,2000
6062470,F32GM020359,64,Genetics | Infectious Diseases | Biotechnology,GM,2000
6070128,F32DE005739,64,Genetics | Infectious Diseases | Biotechnology,DE,2000
6072039,R43CA084828,1,Biotechnology | Cancer | Infectious Diseases,CA,2000
6072139,R43GM060846,71,Biotechnology | Infectious Diseases | Prevention,GM,2000
6072149,R43HD037776,14,Clinical Research | Prevention | Clinical Trials,HD,2000
6072197,R43NS039709,68,Genetics | Biotechnology | Neurosciences,NS,2000
6072461,R43CA084850,43,Neurosciences | Clinical Research | Brain Disorders,CA,2000
6073492,R43CA084912,53,Bioengineering | Clinical Research | Neurosciences,CA,2000
6073556,R01ES010846,86,Bioengineering | Clinical Research | Cancer,ES,2000
6073606,R44AR044768,47,Clinical Research | Genetics | Biotechnology,AR,2000
6073850,R44AI040753,53,Bioengineering | Clinical Research | Neurosciences,AI,2000
6074301,R43GM060890,14,Clinical Research | Prevention | Clinical Trials,GM,2000
6074306,R43GM060895,71,Biotechnology | Infectious Diseases | Prevention,GM,2000
6074339,R43HL061097,53,Bioengineering | Clinical Research | Neurosciences,HL,2000
6074558,R44CA085021,43,Neurosciences | Clinical Research | Brain Disorders,CA,2000
6074611,R44CA075794,53,Bioengineering | Clinical Research | Neurosciences,CA,2000
6074994,R43HL062841,86,Bioengineering | Clinical Research | Cancer,HL,2000
6076025,U54HD028138,47,Clinical Research | Genetics | Biotechnology,HD,2000
6076030,R42HL061146,87,Genetics | Neurosciences | Biotechnology,HL,2000
6076547,R01AI046942,54,Genetics | Biotechnology | Infectious Diseases,AI,2000
6076984,R01AI045388,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6077004,R13CA085138,55,Cancer | Neurosciences | Genetics,CA,2000
6078170,F31MH012311,25,Clinical Research | Behavioral and Social Science | Neurosciences,MH,2000
6078234,M01RR000071,47,Clinical Research | Genetics | Biotechnology,RR,2000
6078260,M01RR002719,8,Biotechnology | Cancer | Bioengineering,RR,2000
6078618,T32MH018268,24,Clinical Research | Cancer | Neurosciences,MH,2000
6079009,R01HL053745,81,Genetics | Cancer | Infectious Diseases,HL,2000
6080405,R21AI045368,62,Infectious Diseases | Biotechnology | Prevention,AI,2000
6080429,T32HL007949,77,Clinical Research | Behavioral and Social Science | Prevention,HL,2000
6080511,P01HD031226,40,Genetics | Biotechnology | Clinical Research,HD,2000
6080593,R01NS035743,70,Genetics | Cancer | Biotechnology,NS,2000
